"filename", "language", "PHP", "JavaScript", "Markdown", "CSS", "XML", "JSON", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\dpr\.styleci.yml", "YAML", 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\xampp\htdocs\dpr\README.md", "Markdown", 0, 0, 42, 0, 0, 0, 0, 0, 21, 63
"c:\xampp\htdocs\dpr\app\Actions\Fortify\CreateNewUser.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 6, 6, 42
"c:\xampp\htdocs\dpr\app\Actions\Fortify\PasswordValidationRules.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 5, 4, 19
"c:\xampp\htdocs\dpr\app\Actions\Fortify\ResetUserPassword.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 7, 6, 31
"c:\xampp\htdocs\dpr\app\Actions\Fortify\UpdateUserPassword.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 7, 6, 36
"c:\xampp\htdocs\dpr\app\Actions\Fortify\UpdateUserProfileInformation.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 14, 8, 62
"c:\xampp\htdocs\dpr\app\Console\Kernel.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 18, 7, 42
"c:\xampp\htdocs\dpr\app\Exceptions\Handler.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 17, 6, 42
"c:\xampp\htdocs\dpr\app\Http\Controllers\Admin\BenefitController.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 48, 10, 86
"c:\xampp\htdocs\dpr\app\Http\Controllers\Admin\BenefitTypeController.php", "PHP", 56, 0, 0, 0, 0, 0, 0, 49, 16, 121
"c:\xampp\htdocs\dpr\app\Http\Controllers\Admin\BusinessUnitController.php", "PHP", 56, 0, 0, 0, 0, 0, 0, 49, 16, 121
"c:\xampp\htdocs\dpr\app\Http\Controllers\Admin\FunctionalAreaController.php", "PHP", 68, 0, 0, 0, 0, 0, 0, 50, 21, 139
"c:\xampp\htdocs\dpr\app\Http\Controllers\Admin\ProcessController.php", "PHP", 90, 0, 0, 0, 0, 0, 0, 51, 25, 166
"c:\xampp\htdocs\dpr\app\Http\Controllers\Admin\StatusController.php", "PHP", 54, 0, 0, 0, 0, 0, 0, 50, 15, 119
"c:\xampp\htdocs\dpr\app\Http\Controllers\Admin\UserController.php", "PHP", 61, 0, 0, 0, 0, 0, 0, 57, 16, 134
"c:\xampp\htdocs\dpr\app\Http\Controllers\Controller.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\xampp\htdocs\dpr\app\Http\Controllers\ProcessController.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 48, 10, 86
"c:\xampp\htdocs\dpr\app\Http\Controllers\User\GlossaryController.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 1, 4, 12
"c:\xampp\htdocs\dpr\app\Http\Controllers\User\Profile.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 1, 5, 17
"c:\xampp\htdocs\dpr\app\Http\Kernel.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 21, 7, 68
"c:\xampp\htdocs\dpr\app\Http\Middleware\AccessAdmin.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 7, 6, 28
"c:\xampp\htdocs\dpr\app\Http\Middleware\Authenticate.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 6, 4, 22
"c:\xampp\htdocs\dpr\app\Http\Middleware\EncryptCookies.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\xampp\htdocs\dpr\app\Http\Middleware\PreventRequestsDuringMaintenance.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\xampp\htdocs\dpr\app\Http\Middleware\RedirectIfAuthenticated.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 8, 6, 33
"c:\xampp\htdocs\dpr\app\Http\Middleware\TrimStrings.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 5, 4, 20
"c:\xampp\htdocs\dpr\app\Http\Middleware\TrustHosts.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 5, 4, 21
"c:\xampp\htdocs\dpr\app\Http\Middleware\TrustProxies.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 10, 5, 24
"c:\xampp\htdocs\dpr\app\Http\Middleware\VerifyCsrfToken.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\xampp\htdocs\dpr\app\Models\Benefit.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 7, 23
"c:\xampp\htdocs\dpr\app\Models\BenefitType.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 6, 21
"c:\xampp\htdocs\dpr\app\Models\BusinessUnit.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 9, 26
"c:\xampp\htdocs\dpr\app\Models\FunctionalArea.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 7, 27
"c:\xampp\htdocs\dpr\app\Models\Process.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 12, 37
"c:\xampp\htdocs\dpr\app\Models\ProcessBenefits.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\xampp\htdocs\dpr\app\Models\Role.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\xampp\htdocs\dpr\app\Models\Status.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 10, 21
