Date : 2021-03-18 11:54:01
Directory : c:\xampp\htdocs\dpr
Total : 151 files,  11708 codes, 1914 comments, 1071 blanks, all 14693 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          3 |      7,787 |          0 |          3 |      7,790 |
| PHP        |        140 |      3,775 |      1,883 |      1,016 |      6,674 |
| CSS        |          2 |         54 |          0 |         17 |         71 |
| Markdown   |          1 |         42 |          0 |         21 |         63 |
| XML        |          1 |         29 |          2 |          1 |         32 |
| YAML       |          1 |         13 |          0 |          1 |         14 |
| JavaScript |          3 |          8 |         29 |         12 |         49 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                   |        151 |     11,708 |      1,914 |      1,071 |     14,693 |
| app                                                                                                 |         43 |      1,061 |        652 |        346 |      2,059 |
| app\Actions                                                                                         |          5 |        121 |         39 |         30 |        190 |
| app\Actions\Fortify                                                                                 |          5 |        121 |         39 |         30 |        190 |
| app\Console                                                                                         |          1 |         17 |         18 |          7 |         42 |
| app\Exceptions                                                                                      |          1 |         19 |         17 |          6 |         42 |
| app\Http                                                                                            |         21 |        611 |        484 |        190 |      1,285 |
| app\Http\Controllers                                                                                |         11 |        469 |        404 |        142 |      1,015 |
| app\Http\Controllers\Admin                                                                          |          7 |        413 |        354 |        119 |        886 |
| app\Http\Controllers\User                                                                           |          2 |         18 |          2 |          9 |         29 |
| app\Http\Middleware                                                                                 |          9 |        102 |         59 |         41 |        202 |
| app\Models                                                                                          |          9 |        158 |         18 |         72 |        248 |
| app\Providers                                                                                       |          6 |        135 |         76 |         41 |        252 |
| bootstrap                                                                                           |          1 |         17 |         30 |          9 |         56 |
| config                                                                                              |         15 |        555 |        761 |        248 |      1,564 |
| database                                                                                            |         28 |        514 |        260 |        129 |        903 |
| database\factories                                                                                  |          6 |        109 |         71 |         32 |        212 |
| database\migrations                                                                                 |         14 |        294 |        140 |         62 |        496 |
| database\seeders                                                                                    |          8 |        111 |         49 |         35 |        195 |
| public                                                                                              |          2 |         57 |         30 |         25 |        112 |
| public\css                                                                                          |          1 |         43 |          0 |         13 |         56 |
| resources                                                                                           |         44 |      1,484 |         92 |        222 |      1,798 |
| resources\css                                                                                       |          1 |         11 |          0 |          4 |         15 |
| resources\js                                                                                        |          2 |          4 |         18 |          9 |         31 |
| resources\lang                                                                                      |          4 |        133 |         60 |         24 |        217 |
| resources\lang\en                                                                                   |          4 |        133 |         60 |         24 |        217 |
| resources\views                                                                                     |         37 |      1,336 |         14 |        185 |      1,535 |
| resources\views\admin                                                                               |         28 |        895 |         14 |        118 |      1,027 |
| resources\views\admin\benefit-types                                                                 |          4 |        111 |          2 |         14 |        127 |
| resources\views\admin\benefit-types\partials                                                        |          1 |         25 |          0 |          1 |         26 |
| resources\views\admin\benefits                                                                      |          4 |        125 |          2 |         17 |        144 |
| resources\views\admin\benefits\partials                                                             |          1 |         37 |          0 |          4 |         41 |
| resources\views\admin\business-units                                                                |          4 |        111 |          2 |         14 |        127 |
| resources\views\admin\business-units\partials                                                       |          1 |         25 |          0 |          1 |         26 |
| resources\views\admin\functional-areas                                                              |          4 |        125 |          2 |         17 |        144 |
| resources\views\admin\functional-areas\partials                                                     |          1 |         37 |          0 |          4 |         41 |
| resources\views\admin\processes                                                                     |          4 |        170 |          2 |         25 |        197 |
| resources\views\admin\processes\partials                                                            |          1 |         76 |          0 |          9 |         85 |
| resources\views\admin\statuses                                                                      |          4 |        100 |          2 |         16 |        118 |
| resources\views\admin\statuses\partials                                                             |          1 |         16 |          0 |          2 |         18 |
| resources\views\admin\users                                                                         |          4 |        153 |          2 |         15 |        170 |
| resources\views\admin\users\partials                                                                |          1 |         67 |          0 |          2 |         69 |
| resources\views\auth                                                                                |          5 |        202 |          0 |         18 |        220 |
| resources\views\layouts                                                                             |          1 |        150 |          0 |         39 |        189 |
| resources\views\partials                                                                            |          1 |         15 |          0 |          2 |         17 |
| resources\views\user                                                                                |          1 |         40 |          0 |          5 |         45 |
| routes                                                                                              |          4 |         40 |         42 |         20 |        102 |
